"asp_north","Elev.skewn","Int.skewne","Int.P70","All_mode","Return.3.c","Elev.IQ","Elev.P40","Int.P40","Total.firs","elevation","center.X","center.Y"
-1.28755642718998,-0.2134,1.6178,8,151,0,4.336,9.5699,3,668,859.744995117188,442250,4691950
-1.36620095150003,-0.3197,1.4936,11,220,0,5.2787,10.663,3,675,859.5830078125,442270,4691950
-1.27885344717801,0.4486,1.816,8,160,0,4.8793,7.3303,3,561,859.3759765625,442290,4691950
-1.27885344717801,-0.3368,1.0301,16,45,0,7.7467,10.9809,7,438,859.3759765625,442310,4691950
-0.811908288280505,-0.2742,1.2551,15,250,1,9.7604,13.1415,5,434,859.392028808594,442330,4691950
0.349278169347441,0.3882,1.1645,16,218,0,11.4914,7.7229,4,463,859.695007324219,442350,4691950
0.766414221064988,-0.6949,0.7299,23.2,16,0,0.9418,4.9498,7.4,493,862.047973632812,442370,4691950
1.03376867103324,0.3587,1.425,12.2,51,0,5.0122,10.8683,3,524,861.510009765625,442390,4691950
1.03376867103324,1.3485,2.5003,6,189,0,4.1511,6.4032,3,690,861.510009765625,442410,4691950
0.805049215488604,0.0064,1.3315,12.5,131,0,2.8786,5.4226,4,787,862.197021484375,442430,4691950
0.525926651919613,0.6375,1.3052,16,288,0,3.633,5.4741,5,699,861.856018066406,442450,4691950
0.29023565073516,-0.0314,0.8294,20,235,0,4.4944,7.6009,7,594,861.747009277344,442470,4691950
-0.718823814029796,0.2028,1.1249,17,285,1,4.8527,9.2184,5,502,863.346984863281,442490,4691950
-0.718823814029796,0.2555,1.8135,8,110,0,5.347,10.0497,3,480,863.346984863281,442510,4691950
-0.765536491037499,NA,NA,NA,0,0,NA,NA,NA,504,861.984008789062,442530,4691950
-0.513291086677405,NA,NA,NA,0,0,NA,NA,NA,603,861.323974609375,442550,4691950
-0.102050988255718,0.7278,2.0403,6,266,0,4.7905,5.4851,2,396,861.6240234375,442570,4691950
-0.27454426002744,0.2489,2.2321,3,40,0,5.9845,7.2127,2,420,862.239013671875,442590,4691950
-0.27454426002744,NA,NA,NA,0,0,NA,NA,NA,369,862.239013671875,442610,4691950
-0.296191705579056,NA,NA,NA,0,0,NA,NA,NA,502,862.981994628906,442630,4691950
-0.296303870162126,-0.4408,2.0256,7,138,0,4.7743,11.9063,3,627,863.836975097656,442650,4691950
-0.160256638502013,-0.4281,1.9228,7,255,2,5.2515,12.387,3,471,864.825012207031,442670,4691950
